--------------------------------------------------------------------------------
		Marvellous Infosystems Process Log
		Log file is created at : Fri Jun 20 01:08:03 2025
--------------------------------------------------------------------------------{'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'pid': 0, 'vms': 0.05859375} 
{'username': None, 'name': 'spoolsv.exe', 'pid': 3092, 'vms': 5.10546875} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'chrome.exe', 'pid': 3112, 'vms': 6.46875} 

{'username': None, 'name': 'dasHost.exe', 'pid': 3132, 'vms': 5.703125} 

{'username': None, 'name': 'svchost.exe', 'pid': 3156, 'vms': 8.0859375} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'CodeSetup-stable-18e3a1ec544e6907be1e944a94c496e302073435.tmp', 'pid': 3176, 'vms': 23.18359375} 

{'username': None, 'name': 'svchost.exe', 'pid': 3208, 'vms': 1.83984375} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'pet.exe', 'pid': 3336, 'vms': 1.54296875} 

{'username': None, 'name': 'svchost.exe', 'pid': 3372, 'vms': 2.4921875} 

{'username': None, 'name': 'svchost.exe', 'pid': 3380, 'vms': 1.59375} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'SearchApp.exe', 'pid': 3500, 'vms': 123.75390625} 

{'username': None, 'name': 'svchost.exe', 'pid': 3504, 'vms': 30.0390625} 

{'username': None, 'name': 'svchost.exe', 'pid': 3516, 'vms': 15.38671875} 

{'username': None, 'name': 'APCONSVC.EXE', 'pid': 3524, 'vms': 16.4921875} 

{'username': None, 'name': 'armsvc.exe', 'pid': 3540, 'vms': 1.54296875} 

{'username': None, 'name': 'svchost.exe', 'pid': 3548, 'vms': 2.62109375} 

{'username': None, 'name': 'svchost.exe', 'pid': 3624, 'vms': 1.53125} 

{'username': None, 'name': 'NPProt.exe', 'pid': 3632, 'vms': 0.84765625} 

{'username': None, 'name': 'NPBKPSRV.EXE', 'pid': 3652, 'vms': 1.796875} 

{'username': None, 'name': 'MpDefenderCoreService.exe', 'pid': 3660, 'vms': 9.16015625} 

{'username': None, 'name': 'NPHOST.EXE', 'pid': 3668, 'vms': 6.734375} 

{'username': None, 'name': 'NP2022AB.EXE', 'pid': 3688, 'vms': 2.04296875} 

{'username': None, 'name': 'svchost.exe', 'pid': 3712, 'vms': 6.4765625} 

{'username': None, 'name': 'svchost.exe', 'pid': 3720, 'vms': 1.80078125} 

{'username': None, 'name': 'svchost.exe', 'pid': 3744, 'vms': 1.22265625} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'chrome.exe', 'pid': 3768, 'vms': 20.30078125} 

